id,created_at,nume,email,telefon,data,ora,persoane,mesaj,status
01987177-a9ab-43a7-bd6d-78bb1535d71c,2026-03-29 12:08:08.116969+00,Ioana Stanescu,ioana@gmail.com,0798012345,2026-04-18,17:00:00,3,Loc în interior.,confirmed
03b2d2f8-1156-44ea-ab46-0d795ba1002a,2026-03-29 12:08:08.116969+00,Cristian Popa,cristi@gmail.com,0787901234,2026-04-17,15:00:00,5,,confirmed
352dd209-8f36-42fa-a499-4506976e3c4c,2026-03-29 12:08:08.116969+00,Mihai Georgescu,mihai@gmail.com,0765789012,2026-04-05,13:00:00,4,"Meeting de afaceri, avem nevoie de liniște.",pending
45c1d9d4-4ba5-488e-9732-132021820ced,2026-03-29 12:08:08.116969+00,Alexandru Ionescu,alex@gmail.com,0721345678,2026-04-21,09:00:00,1,,cancelled
45f2d9a7-6dfd-4d68-a139-1338f39b4e16,2026-03-29 12:08:08.116969+00,Bogdan Marin,bogdan@yahoo.com,0709123456,2026-04-09,18:00:00,2,Prima vizită la voi!,pending
46865455-a297-46b4-8e89-7007a02a60e2,2026-03-29 12:08:08.116969+00,Maria Popescu,maria@yahoo.com,0732456789,2026-04-12,10:00:00,2,Aniversare de ziua de naștere.,confirmed
73055b11-383b-4bd5-998a-aabd87c5b031,2026-03-29 12:08:08.116969+00,Mihai Georgescu,mihai@gmail.com,0765789012,2026-04-15,13:00:00,4,Meeting de afaceri.,confirmed
736b8ef0-1a19-42cc-8eed-c3c5096af16a,2026-03-29 12:08:08.116969+00,Cristian Popa,cristi@gmail.com,0787901234,2026-04-27,15:00:00,5,,cancelled
7b545ce6-a34e-4655-aa33-de26555771ec,2026-03-29 12:08:08.116969+00,Laura Nistor,laura@gmail.com,0710234567,2026-04-10,19:00:00,6,Ziua de naștere a soției mele.,pending
7c960e66-5d79-4ccf-8396-6242a63e3880,2026-03-29 12:08:08.116969+00,Ana Radu,ana@yahoo.com,0776890123,2026-04-06,14:00:00,2,Venim cu un copil mic.,pending
7fa622bb-27dc-4222-a00b-9d51f25d96fa,2026-03-29 12:08:08.116969+00,Laura Nistor,laura@gmail.com,0710234567,2026-04-20,19:00:00,6,Ziua de naștere a soției.,confirmed
83ff3023-b275-4e1f-a135-1fe3a7cd3fed,2026-03-29 12:08:08.116969+00,Bogdan Marin,bogdan@yahoo.com,0709123456,2026-04-19,18:00:00,2,Prima vizită!,confirmed
8cdd579f-5de3-4f83-b658-331859703e4e,2026-03-29 12:08:08.116969+00,Andrei Constantin,andrei@gmail.com,0743567890,2026-04-03,11:00:00,2,"Alerg la gluten, vă rog să țineți cont.",pending
967b5d5f-f2d3-44b9-85d8-6f09957121f7,2026-03-29 12:08:08.116969+00,Ioana Stanescu,ioana@gmail.com,0798012345,2026-04-28,17:00:00,3,,cancelled
9ee7c888-bd6a-4e56-9863-0d0587460b57,2026-03-29 12:08:08.116969+00,Alexandru Ionescu,alex@gmail.com,0721345678,2026-04-11,09:00:00,1,"Loc la fereastră, vă rog.",confirmed
a0f7a838-8163-4426-84ee-1e495bf2f50f,2026-03-29 12:08:08.116969+00,Elena Dumitrescu,elena@outlook.com,0754678901,2026-04-24,12:00:00,3,Alerg la gluten.,cancelled
a1d89efe-ebdb-4408-b697-2417973f56ef,2026-03-29 12:08:08.116969+00,Ioana Stanescu,ioana@gmail.com,0798012345,2026-04-08,17:00:00,3,"Loc în interior, departe de ușă.",pending
acccb983-6c7d-4e14-8698-eb9e1740c903,2026-03-29 12:08:08.116969+00,Maria Popescu,maria@yahoo.com,0732456789,2026-04-02,10:00:00,2,Aniversare de ziua de naștere.,pending
b0d391e1-f198-4977-acf3-24f8312a0671,2026-03-29 12:08:08.116969+00,Elena Dumitrescu,elena@outlook.com,0754678901,2026-04-04,12:00:00,3,,pending
